Date,Adj Close
8/24/17,240.586884
8/25/17,241.148911
8/28/17,241.158783
8/29/17,241.434891
8/30/17,242.57869
8/31/17,244.038055
9/1/17,244.383163
9/5/17,242.627991
9/6/17,243.456284
9/7/17,243.426712
9/8/17,243.140762
9/11/17,245.73407
9/12/17,246.562347
9/13/17,246.680679
9/14/17,246.601791
9/15/17,246.933762
9/18/17,247.458969
9/19/17,247.706696
9/20/17,247.795883
9/21/17,247.131958
9/22/17,247.181503
9/25/17,246.676102
9/26/17,246.824753
9/27/17,247.78598
9/28/17,248.083267
9/29/17,248.955292
10/2/17,250.035431
10/3/17,250.570541
10/4/17,250.867813
10/5/17,252.354233
10/6/17,252.066849
10/9/17,251.650665
10/10/17,252.31459
10/11/17,252.710983
10/12/17,252.334427
10/13/17,252.641617
10/16/17,252.978531
10/17/17,253.156906
10/18/17,253.404633
10/19/17,253.473999
10/20/17,254.782043
10/23/17,253.791092
10/24/17,254.23703
10/25/17,252.978531
10/26/17,253.305527
10/27/17,255.376602
10/30/17,254.425308
10/31/17,254.821701
11/1/17,255.1586
11/2/17,255.257706
11/3/17,256.109955
11/6/17,256.506287
11/7/17,256.327942
11/8/17,256.763916
11/9/17,255.832458
11/10/17,255.753189
11/13/17,255.990982
11/14/17,255.396454
11/15/17,254.118118
11/16/17,256.278381
11/17/17,255.525253
11/20/17,255.961258
11/21/17,257.635956
11/22/17,257.408081
11/24/17,258.002625
11/27/17,257.87381
11/28/17,260.489899
11/29/17,260.331329
11/30/17,262.610535
12/1/17,262.065491
12/4/17,261.748413
12/5/17,260.807007
12/6/17,260.856567
12/7/17,261.679047
12/8/17,263.106018
12/11/17,263.898743
12/12/17,264.364502
12/13/17,264.334778
12/14/17,263.254639
12/15/17,265.446869
12/18/17,267.130127
12/19/17,266.104248
12/20/17,265.964783
12/21/17,266.512573
12/22/17,266.442871
12/26/17,266.124146
12/27/17,266.253632
12/28/17,266.801422
12/29/17,265.795441
1/2/18,267.697845
1/3/18,269.391083
1/4/18,270.52652
1/5/18,272.329315
1/8/18,272.827332
1/9/18,273.444855
1/10/18,273.026489
1/11/18,275.018524
1/12/18,276.811371
1/16/18,275.865143
1/17/18,278.494598
1/18/18,278.026489
1/19/18,279.291412
1/22/18,281.562317
1/23/18,282.159943
1/24/18,282.050354
1/25/18,282.169861
1/26/18,285.436798
1/29/18,283.544373
1/30/18,280.636047
1/31/18,280.775452
2/1/18,280.456726
2/2/18,274.351227
2/5/18,262.877136
2/6/18,268.056427
2/7/18,266.602264
2/8/18,256.602295
2/9/18,260.456848
2/12/18,264.281525
2/13/18,264.938904
2/14/18,268.514587
2/15/18,271.940857
2/16/18,272.020508
2/20/18,270.317352
2/21/18,268.972717
2/22/18,269.32135
2/23/18,273.614136
2/26/18,276.791412
2/27/18,273.335266
2/28/18,270.566345
3/1/18,266.632141
3/2/18,268.006592
3/5/18,271.104218
3/6/18,271.791473
3/7/18,271.691864
3/8/18,273.006592
3/9/18,277.757568
3/12/18,277.408936
3/13/18,275.61615
3/14/18,274.201782
3/15/18,273.902985
3/16/18,274.200012
3/19/18,270.48999
3/20/18,270.950012
3/21/18,270.429993
3/22/18,263.670013
3/23/18,258.049988
3/26/18,265.109985
3/27/18,260.600006
3/28/18,259.829987
3/29/18,263.149994
4/2/18,257.470001
4/3/18,260.769989
4/4/18,263.559998
4/5/18,265.640015
4/6/18,259.720001
4/9/18,261
4/10/18,265.149994
4/11/18,263.76001
4/12/18,265.929993
4/13/18,265.149994
4/16/18,267.329987
4/17/18,270.190002
4/18/18,270.390015
4/19/18,268.890015
4/20/18,266.609985
4/23/18,266.570007
4/24/18,262.980011
